,,,,Last epoch,,,,Train loss,,,,,,Val. Loss,,,,,,
N,Batch size,Filters,Learning rate,1,2,3,4,1,2,3,4,Mean,Std. dev.,1,2,3,4,Mean,Std. dev.,Min
27,8,8,0.01,75,83,189,91,0.28,0.26,0.25,0.28,0.26,0.016,0.44,0.41,0.43,0.42,0.43,0.014,0.35
28,8,8,0.005,134,73,70,137,0.21,0.29,0.29,0.21,0.25,0.047,0.45,0.41,0.38,0.39,0.4,0.031,0.37
29,8,8,0.001,154,74,94,74,0.16,0.21,0.2,0.23,0.2,0.03,0.35,0.35,0.43,0.37,0.37,0.038,0.37
30,8,16,0.01,21,98,93,61,1,0.28,0.26,0.32,0.46,0.358,1,0.53,0.43,0.44,0.6,0.269,
31,8,16,0.005,93,98,138,80,0.26,0.22,0.17,0.3,0.24,0.053,0.46,0.4,0.39,0.42,0.42,0.03,
32,8,16,0.001,68,90,89,105,0.24,0.19,0.2,0.18,0.2,0.025,0.35,0.36,0.38,0.38,0.37,0.013,
33,8,32,0.01,109,93,21,188,0.25,0.23,0.96,0.22,0.42,0.364,0.38,0.43,0.96,0.37,0.53,0.285,
34,8,32,0.005,95,98,21,72,0.21,0.22,0.96,0.27,0.41,0.365,0.45,0.38,0.96,0.41,0.55,0.273,
35,8,32,0.001,106,126,95,89,0.2,0.17,0.2,0.22,0.2,0.019,0.39,0.35,0.37,0.4,0.38,0.023,
36,16,8,0.01,101,99,109,63,0.24,0.2,0.22,0.34,0.25,0.062,0.47,0.38,0.43,0.56,0.46,0.077,
37,16,8,0.005,62,57,21,77,0.26,0.33,1,0.22,0.45,0.367,0.46,0.46,1,0.39,0.58,0.284,
38,16,8,0.001,93,62,60,69,0.19,0.26,0.24,0.26,0.24,0.034,0.4,0.35,0.4,0.48,0.41,0.055,
39,16,16,0.01,51,30,105,21,0.35,1,0.21,0.96,0.63,0.41,0.53,1,0.43,0.96,0.73,0.291,
40,16,16,0.005,133,56,77,82,0.17,0.3,0.28,0.23,0.24,0.061,0.37,0.56,0.48,0.45,0.46,0.082,
41,16,16,0.001,72,97,58,64,0.24,0.2,0.26,0.26,0.24,0.027,0.46,0.41,0.4,0.49,0.44,0.042,
42,16,32,0.01,79,21,21,21,0.23,0.96,0.96,1,0.79,0.375,0.46,0.96,0.96,1,0.84,0.259,
43,16,32,0.005,59,92,28,63,0.28,0.21,1,0.29,0.44,0.372,0.49,0.49,1,0.48,0.61,0.257,
44,16,32,0.001,48,53,64,85,0.26,0.28,0.25,0.19,0.24,0.038,0.47,0.46,0.45,0.41,0.45,0.025,
45,32,8,0.01,77,51,145,51,0.24,0.29,0.17,0.27,0.24,0.054,0.46,0.53,0.38,0.6,0.49,0.092,
46,32,8,0.005,132,60,54,91,0.17,0.23,0.29,0.22,0.23,0.049,0.36,0.41,0.6,0.42,0.45,0.106,
47,32,8,0.001,151,52,75,89,0.15,0.3,0.2,0.18,0.21,0.065,0.34,0.38,0.38,0.32,0.35,0.029,
48,32,16,0.01,97,125,60,111,0.2,0.19,0.23,0.19,0.2,0.019,0.42,0.37,0.41,0.34,0.39,0.039,
49,32,16,0.005,113,24,140,100,0.18,1,0.17,0.19,0.39,0.409,0.44,1,0.38,0.4,0.55,0.298,
50,32,16,0.001,120,50,48,97,0.17,0.22,0.32,0.17,0.22,0.069,0.35,0.41,0.56,0.34,0.41,0.1,
51,32,32,0.01,21,82,21,21,0.96,0.26,0.96,0.96,0.79,0.35,0.96,0.58,0.96,0.96,0.87,0.188,
52,32,32,0.005,21,21,153,21,0.96,0.96,0.15,0.96,0.76,0.405,0.96,0.96,0.36,0.96,0.81,0.302,
53,32,32,0.001,50,77,49,103,0.22,0.23,0.27,0.19,0.23,0.032,0.44,0.41,0.53,0.35,0.43,0.077,
