,,,,Last epoch,,,,Train loss,,,,,,Val. Loss,,,,,,
N,Batch size,Filters,Learning rate,1,2,3,4,1,2,3,4,Mean,Std. dev.,1,2,3,4,Mean,Std. dev.,Min
54,8,8,0.01,24,41,46,63,0.52,0.5,0.5,0.5,0.5,0.008,0.68,0.39,0.54,0.48,0.52,0.117,0.52
55,8,8,0.005,32,48,58,65,0.5,0.51,0.5,0.49,0.5,0.008,0.77,0.69,0.55,0.68,0.67,0.09,0.55
56,8,8,0.001,114,115,71,92,0.48,0.48,0.49,0.48,0.48,0.005,0.55,0.53,0.64,0.52,0.56,0.055,0.56
57,8,16,0.01,31,46,50,39,0.51,0.5,0.5,0.5,0.5,0.006,0.59,0.57,0.56,0.61,0.58,0.024,
58,8,16,0.005,31,30,60,30,0.5,0.5,0.49,0.51,0.5,0.009,0.67,0.56,0.51,0.6,0.59,0.068,
59,8,16,0.001,73,88,84,104,0.48,0.48,0.49,0.47,0.48,0.005,0.55,0.53,0.57,0.6,0.56,0.03,
60,8,32,0.01,39,28,29,41,0.5,0.52,0.52,0.51,0.51,0.011,0.56,0.57,0.6,0.96,0.67,0.195,
61,8,32,0.005,30,46,31,76,0.51,0.49,0.5,0.48,0.5,0.009,0.55,0.57,0.56,0.61,0.57,0.025,
62,8,32,0.001,111,106,94,116,0.47,0.48,0.49,0.47,0.48,0.006,0.53,0.56,0.52,0.58,0.55,0.025,
63,16,8,0.01,58,54,21,37,0.49,0.49,0.53,0.5,0.5,0.016,0.52,0.6,0.84,0.53,0.62,0.149,
64,16,8,0.005,87,38,78,38,0.48,0.5,0.48,0.5,0.49,0.01,0.86,0.71,0.52,0.65,0.69,0.143,
65,16,8,0.001,149,117,119,105,0.48,0.48,0.47,0.49,0.48,0.006,0.56,0.53,0.58,0.58,0.56,0.025,
66,16,16,0.01,49,34,41,39,0.49,0.51,0.5,0.5,0.5,0.009,0.52,0.54,0.5,0.51,0.52,0.018,
67,16,16,0.005,37,51,79,37,0.5,0.49,0.48,0.5,0.49,0.008,0.74,0.53,0.57,0.64,0.62,0.091,
68,16,16,0.001,111,172,134,39,0.48,0.47,0.47,0.77,0.55,0.151,0.55,0.57,0.54,0.78,0.61,0.114,
