,,,,Last epoch,,,,Train loss,,Val. Loss,
Architecture,Batch size,Filters,Learning rate,1,2,3,4,Mean,Std. dev.,Mean,Std. dev.
U-Net,8,8,0.005,74,91,105,122,0.23,0.017,0.28,0.008
U-Net,8,8,0.001,113,97,74,114,0.2,0.019,0.28,0.006
U-Net,8,16,0.005,144,119,93,111,0.19,0.01,0.28,0.009
DeconvNet,16,16,0.001,85,101,80,69,0.27,0.013,0.45,0.008
DeconvNet,8,8,0.001,63,90,76,80,0.32,0.021,0.47,0.016
DeconvNet,16,8,0.001,76,94,86,105,0.27,0.024,0.47,0.018
MultiRes,8,16,0.005,94,43,64,47,0.35,0.013,0.43,0.021
MultiRes,8,32,0.005,76,68,61,75,0.32,0.007,0.43,0.038
MultiRes,16,8,0.005,53,107,78,100,0.34,0.017,0.45,0.049
