,,,,Last epoch,,,,Train loss,,,,,,Val. loss,,,,,,
N,Batch size,Filters,Learning rate,1,2,3,4,1,2,3,4,Mean,Std. dev.,1,2,3,4,Mean,Std. dev.,Min
120,8,8,0.01,46,38,49,63,0.39,0.39,0.37,0.35,0.37,0.02,0.46,0.5,0.51,0.43,0.48,0.036,0.43
121,8,8,0.005,58,37,39,49,0.37,0.38,0.37,0.37,0.37,0.006,0.68,0.72,0.47,0.77,0.66,0.132,0.43
122,8,8,0.001,134,113,92,109,0.31,0.3,0.32,0.31,0.31,0.009,0.47,0.46,0.45,0.44,0.46,0.014,0.45
123,8,16,0.01,57,43,72,42,0.35,0.38,0.37,0.37,0.37,0.011,0.48,0.38,0.46,0.52,0.46,0.058,
124,8,16,0.005,94,43,64,47,0.33,0.36,0.35,0.36,0.35,0.013,0.42,0.42,0.46,0.42,0.43,0.021,
125,8,16,0.001,134,129,108,25,0.31,0.31,0.3,0.84,0.44,0.268,0.43,0.44,0.44,0.84,0.54,0.201,
126,8,32,0.01,44,50,61,50,0.36,0.35,0.35,0.37,0.36,0.01,0.64,0.42,0.44,0.42,0.48,0.11,
127,8,32,0.005,76,68,61,75,0.32,0.32,0.33,0.32,0.32,0.007,0.41,0.39,0.48,0.43,0.43,0.038,
128,8,32,0.001,25,91,124,29,0.84,0.3,0.32,0.79,0.56,0.296,0.83,0.44,0.51,0.8,0.65,0.2,
129,16,8,0.01,53,70,62,59,0.37,0.37,0.36,0.36,0.37,0.006,0.75,0.44,0.39,0.9,0.62,0.247,
130,16,8,0.005,53,107,78,100,0.36,0.32,0.34,0.33,0.34,0.017,0.5,0.49,0.4,0.42,0.45,0.049,
131,16,8,0.001,155,149,30,30,0.3,0.3,0.91,0.91,0.61,0.356,0.52,0.47,0.9,0.93,0.71,0.241,
132,16,16,0.01,42,62,44,89,0.36,0.34,0.37,0.34,0.35,0.015,0.41,0.48,0.92,0.49,0.57,0.233,
133,16,16,0.005,79,66,105,95,0.32,0.33,0.32,0.32,0.32,0.004,0.45,0.72,0.65,0.45,0.57,0.138,
134,16,16,0.001,34,31,30,180,0.91,0.91,0.92,0.28,0.75,0.316,0.91,0.91,0.92,0.47,0.8,0.225,
