,,,,Last epoch,,,,Train loss,,,,,,Val. loss,,,,,,
N,Batch size,Filters,Learning rate,1,2,3,4,1,2,3,4,Mean,Std. dev.,1,2,3,4,Mean,Std. dev.,Min
69,8,8,0.01,88,64,37,90,0.24,0.25,0.26,0.24,0.25,0.012,0.28,0.3,0.39,0.29,0.31,0.053,0.28
70,8,8,0.005,74,91,105,122,0.24,0.24,0.21,0.21,0.23,0.017,0.28,0.29,0.28,0.29,0.28,0.008,0.28
71,8,8,0.001,113,97,74,114,0.19,0.19,0.23,0.21,0.2,0.019,0.28,0.29,0.28,0.28,0.28,0.006,0.28
72,8,16,0.01,52,119,90,57,0.27,0.21,0.22,0.24,0.23,0.027,0.31,0.28,0.3,0.29,0.29,0.013,
73,8,16,0.005,144,119,93,111,0.19,0.19,0.21,0.19,0.19,0.01,0.27,0.28,0.28,0.29,0.28,0.009,
74,8,16,0.001,86,70,118,49,0.21,0.21,0.19,0.25,0.21,0.025,0.31,0.29,0.26,0.33,0.3,0.03,
75,8,32,0.01,93,68,89,99,0.18,0.21,0.22,0.18,0.2,0.018,0.29,0.32,0.29,0.3,0.3,0.013,
76,8,32,0.005,114,92,80,100,0.19,0.2,0.2,0.22,0.2,0.012,0.26,0.31,0.29,0.29,0.29,0.021,
77,8,32,0.001,86,114,99,105,0.21,0.19,0.19,0.17,0.19,0.014,0.28,0.26,0.28,0.29,0.28,0.01,
78,16,8,0.01,69,83,56,136,0.23,0.23,0.27,0.21,0.24,0.024,0.29,0.33,0.34,0.34,0.32,0.026,
79,16,8,0.005,55,61,62,88,0.26,0.24,0.25,0.23,0.25,0.011,0.28,0.37,0.33,0.27,0.31,0.046,
80,16,8,0.001,61,118,91,74,0.24,0.19,0.21,0.24,0.22,0.023,0.3,0.27,0.29,0.3,0.29,0.016,
81,16,16,0.01,109,70,87,86,0.19,0.23,0.22,0.24,0.22,0.024,0.31,0.29,0.3,0.29,0.3,0.01,
82,16,16,0.005,120,58,119,92,0.19,0.24,0.19,0.24,0.21,0.028,0.3,0.33,0.31,0.27,0.3,0.026,
83,16,16,0.001,69,105,111,82,0.22,0.18,0.18,0.2,0.2,0.021,0.33,0.27,0.28,0.27,0.29,0.027,
84,16,32,0.01,82,80,64,44,0.21,0.21,0.2,0.25,0.22,0.023,0.32,0.27,0.32,0.33,0.31,0.026,
85,16,32,0.005,150,84,151,115,0.2,0.21,0.17,0.2,0.19,0.018,0.31,0.28,0.29,0.26,0.28,0.02,
86,16,32,0.001,83,48,56,49,0.21,0.24,0.22,0.24,0.23,0.017,0.29,0.37,0.33,0.28,0.32,0.041,
87,32,8,0.01,101,72,142,114,0.23,0.25,0.22,0.22,0.23,0.017,0.29,0.3,0.3,0.31,0.3,0.008,
88,32,8,0.005,99,152,77,64,0.23,0.18,0.25,0.25,0.23,0.03,0.37,0.28,0.31,0.29,0.31,0.04,
89,32,8,0.001,129,43,64,46,0.19,0.32,0.28,0.31,0.28,0.061,0.3,0.36,0.38,0.35,0.35,0.034,
90,32,16,0.01,89,138,119,93,0.24,0.21,0.2,0.21,0.22,0.017,0.33,0.3,0.31,0.3,0.31,0.012,
91,32,16,0.005,78,65,140,155,0.24,0.25,0.2,0.19,0.22,0.033,0.29,0.38,0.28,0.27,0.31,0.049,
92,32,16,0.001,80,102,94,37,0.21,0.21,0.21,0.35,0.24,0.071,0.31,0.34,0.3,0.57,0.38,0.127,
